id,handedness,handedness_text
easton005,1,LEFT
easton022,1,LEFT
easton034,1,LEFT
easton040,1,LEFT
easton052,1,LEFT
easton054,1,LEFT
easton070,1,LEFT
easton085,1,LEFT
easton088,1,LEFT
easton134,1,LEFT
easton136,1,LEFT
easton159,1,LEFT
easton222,1,LEFT
easton001,2,RIGHT
easton002,2,RIGHT
easton003,2,RIGHT
easton004,2,RIGHT
easton006,2,RIGHT
easton008,2,RIGHT
easton010,2,RIGHT
easton011,2,RIGHT
easton013,2,RIGHT
easton014,2,RIGHT
easton015,2,RIGHT
easton016,2,RIGHT
easton017,2,RIGHT
easton018,2,RIGHT
easton019,2,RIGHT
easton020,2,RIGHT
easton021,2,RIGHT
easton023,2,RIGHT
easton024,2,RIGHT
easton027,2,RIGHT
easton030,2,RIGHT
easton031,2,RIGHT
easton032,2,RIGHT
easton033,2,RIGHT
easton035,2,RIGHT
easton036,2,RIGHT
easton037,2,RIGHT
easton038,2,RIGHT
easton039,2,RIGHT
easton041,2,RIGHT
easton043,2,RIGHT
easton045,2,RIGHT
easton046,2,RIGHT
easton047,2,RIGHT
easton048,2,RIGHT
easton049,2,RIGHT
easton050,2,RIGHT
easton051,2,RIGHT
easton053,2,RIGHT
easton055,2,RIGHT
easton056,2,RIGHT
easton057,2,RIGHT
easton058,2,RIGHT
easton060,2,RIGHT
easton062,2,RIGHT
easton065,2,RIGHT
easton067,2,RIGHT
easton068,2,RIGHT
easton069,2,RIGHT
easton071,2,RIGHT
easton072,2,RIGHT
easton073,2,RIGHT
easton074,2,RIGHT
easton075,2,RIGHT
easton076,2,RIGHT
easton077,2,RIGHT
easton078,2,RIGHT
easton079,2,RIGHT
easton080,2,RIGHT
easton081,2,RIGHT
easton082,2,RIGHT
easton084,2,RIGHT
easton086,2,RIGHT
easton089,2,RIGHT
easton090,2,RIGHT
easton092,2,RIGHT
easton093,2,RIGHT
easton094,2,RIGHT
easton095,2,RIGHT
easton096,2,RIGHT
easton097,2,RIGHT
easton098,2,RIGHT
easton099,2,RIGHT
easton100,2,RIGHT
easton101,2,RIGHT
easton105,2,RIGHT
easton107,2,RIGHT
easton109,2,RIGHT
easton111,2,RIGHT
easton112,2,RIGHT
easton113,2,RIGHT
easton114,2,RIGHT
easton115,2,RIGHT
easton116,2,RIGHT
easton117,2,RIGHT
easton118,2,RIGHT
easton120,2,RIGHT
easton122,2,RIGHT
easton123,2,RIGHT
easton124,2,RIGHT
easton125,2,RIGHT
easton126,2,RIGHT
easton127,2,RIGHT
easton128,2,RIGHT
easton132,2,RIGHT
easton133,2,RIGHT
easton137,2,RIGHT
easton141,2,RIGHT
easton142,2,RIGHT
easton143,2,RIGHT
easton147,2,RIGHT
easton150,2,RIGHT
easton151,2,RIGHT
easton152,2,RIGHT
easton154,2,RIGHT
easton155,2,RIGHT
easton156,2,RIGHT
easton158,2,RIGHT
easton161,2,RIGHT
easton163,2,RIGHT
easton164,2,RIGHT
easton165,2,RIGHT
easton166,2,RIGHT
easton168,2,RIGHT
easton169,2,RIGHT
easton172,2,RIGHT
easton173,2,RIGHT
easton174,2,RIGHT
easton176,2,RIGHT
easton177,2,RIGHT
easton179,2,RIGHT
easton181,2,RIGHT
easton182,2,RIGHT
easton183,2,RIGHT
easton185,2,RIGHT
easton186,2,RIGHT
easton187,2,RIGHT
easton189,2,RIGHT
easton190,2,RIGHT
easton191,2,RIGHT
easton195,2,RIGHT
easton197,2,RIGHT
easton201,2,RIGHT
easton203,2,RIGHT
easton206,2,RIGHT
easton210,2,RIGHT
easton211,2,RIGHT
easton212,2,RIGHT
easton214,2,RIGHT
easton216,2,RIGHT
easton220,2,RIGHT
easton029,3,AMBIDEXTROUS
easton044,3,AMBIDEXTROUS
easton153,3,AMBIDEXTROUS
easton193,3,AMBIDEXTROUS
easton102,2,RIGHT
easton171,2,RIGHT
